time,open,high,low,close,volume
1785692700,63330.42,63334.67,63304.1,63304.1,0.20548
1785693600,63328.01,63334.01,63295.8,63308.37,0.00935
1785694500,63294.04,63326.55,63294.04,63299.4,0.02136
1785695400,63292.98,63593.44,63292.98,63492.44,0.27091
1785696300,63500.73,63500.73,63380.44,63380.44,0.02946
1785697200,63380.44,63384.72,63345.98,63355.12,0.04556
1785698100,63355.33,63366.87,63345.98,63345.98,0.01873
1785699000,63326.36,63388.44,63326.36,63388.44,0.00492
1785699900,63395.71,63478.55,63395.71,63454.82,0.0214
1785700800,63458.31,63471.78,63421.23,63440.24,0.04386
1785701700,63456.43,63456.43,63405.37,63405.37,0.03285
1785702600,63402.35,63434.27,63402.35,63434.27,0.00578
1785703500,63418.13,63496.52,63418.13,63494.92,0.04458
1785704400,63525.02,63561.92,63518.89,63534.53,0.10408
1785705300,63534.53,63534.53,63519.16,63527.72,0.02699
1785706200,63562.03,63777.74,63502.99,63742.66,0.16519
1785707100,63737.9,63761.83,63580.0,63580.0,0.19463
1785708000,63602.12,63787.01,63602.12,63751.91,0.13127
1785708900,63676.13,63760.78,63577.46,63577.46,0.09588
1785709800,63547.0,63547.0,63379.18,63405.57,0.10598
1785710700,63540.5,63547.41,63422.66,63422.66,0.18701
1785711600,63415.01,63443.98,63344.37,63354.58,0.04503
1785712500,63350.81,63519.41,63350.09,63519.41,0.08135
1785713400,63544.87,63580.0,63507.1,63514.4,0.15846
1785714300,63492.07,63540.39,63487.53,63540.39,0.05103
1785715200,63557.74,63557.74,63377.98,63377.98,0.01509
1785716100,63410.16,63420.27,63262.83,63279.45,0.06835
1785717000,63250.0,63391.59,63250.0,63321.02,0.13798
1785717900,63329.82,63341.34,63270.88,63318.17,0.07141
1785718800,63267.07,63336.16,63184.0,63211.42,0.48512
1785719700,63209.71,63250.99,63121.73,63158.34,0.09314
1785720600,63175.96,63236.36,63175.96,63220.59,0.21524
1785721500,63213.62,63213.62,63157.71,63208.29,0.04898
1785722400,63199.93,63212.58,63161.83,63167.17,0.05065
1785723300,63188.62,63289.09,63092.65,63100.94,0.07026
1785724200,63119.38,63209.37,63116.6,63186.03,0.0102
1785725100,63175.76,63184.04,63140.97,63140.97,0.00553
1785726000,63127.93,63153.68,63091.63,63137.43,0.01314
1785726900,63104.54,63104.54,63067.37,63067.37,0.05163
1785727800,63066.71,63085.32,63040.66,63049.84,0.03921
1785728700,63060.6,63060.6,62800.0,62939.04,0.09913
1785729600,62858.56,62928.26,62822.85,62877.68,0.16685
1785730500,62912.66,62979.77,62912.66,62945.58,0.01304
1785731400,62983.08,62995.33,62964.16,62979.55,0.14739
1785732300,62951.23,62951.23,62774.17,62781.07,0.11366
1785733200,62790.0,62846.67,62749.61,62836.08,1.42825
1785734100,62844.51,62864.92,62794.53,62838.38,0.06874
1785735000,62816.98,62833.85,62772.23,62823.05,0.11833
1785735900,62833.65,62833.65,62787.74,62799.7,0.01488
1785736800,62825.7,62860.78,62825.7,62849.44,0.00301
1785737700,62842.61,62842.61,62774.12,62774.12,0.04859
1785738600,62791.84,62809.39,62656.0,62656.0,0.04362
1785739500,62623.0,62667.37,62620.49,62620.49,0.00334
1785740400,62620.49,62660.94,62597.09,62604.53,0.33301
1785741300,62597.13,62645.73,62569.75,62645.73,0.69573
1785742200,62645.73,62694.38,62613.88,62644.33,0.07947
1785743100,62643.16,62668.27,62572.77,62572.77,0.01316
1785744000,62623.69,62623.69,62516.66,62516.66,0.01711
1785744900,62516.66,62516.66,62333.39,62341.19,0.88477
1785745800,62325.0,62422.84,62309.13,62394.19,0.3893
1785746700,62469.5,62524.0,62465.78,62524.0,0.00207
1785747600,62536.63,62574.19,62527.81,62556.17,2.78755
1785748500,62574.19,62664.45,62574.19,62637.64,0.00578
1785749400,62655.53,62668.03,62643.67,62668.03,0.00196
1785750300,62700.0,62839.29,62700.0,62839.29,0.03277
1785751200,62843.74,62866.02,62790.13,62794.23,0.32901
1785752100,62794.23,62808.74,62739.74,62739.74,2.98352
1785753000,62721.54,62721.54,62670.86,62696.21,0.03192
1785753900,62711.53,62763.05,62622.81,62737.38,0.03185
1785754800,62745.44,62749.18,62594.75,62605.47,0.23556
1785755700,62707.18,62766.0,62707.18,62733.2,0.01687
1785756600,62722.37,62767.4,62712.17,62712.17,0.01313
1785757500,62662.08,62663.55,62562.94,62587.33,0.05302
1785758400,62560.82,62604.65,62467.73,62557.01,0.02244
1785759300,62565.81,62656.25,62551.07,62615.75,0.08276
1785760200,62649.0,62718.86,62645.72,62718.86,0.04048
1785761100,62755.0,62788.0,62702.53,62702.53,0.04771
1785762000,62716.27,62742.81,62707.52,62730.72,0.06886
1785762900,62772.76,62983.93,62734.27,62745.65,0.15427
1785763800,62760.25,62920.0,62575.0,62883.94,0.29421
1785764700,62943.25,63369.69,62876.97,63369.69,0.30251
1785765600,63341.28,63433.33,63147.62,63306.76,0.11014
1785766500,63344.17,63794.27,63178.1,63770.87,0.23593
